"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipGetDevice",1,16250761,16250761.000000,34.42,16250761,16250761,0.00000000e+00
"hipMemcpy",3,14100015,4700005.000000,29.86,37220,14009105,8061921.292268
"hipModuleLoadData",1,8439496,8439496.000000,17.88,8439496,8439496,0.00000000e+00
"hipStreamCreate",1,4778194,4778194.000000,10.12,4778194,4778194,0.00000000e+00
"hipModuleUnload",1,2384443,2384443.000000,5.05,2384443,2384443,0.00000000e+00
"hipStreamDestroy",1,634913,634913.000000,1.34,634913,634913,0.00000000e+00
"hipStreamSynchronize",1,267408,267408.000000,0.5664,267408,267408,0.00000000e+00
"hipModuleLaunchKernel",1,141905,141905.000000,0.3006,141905,141905,0.00000000e+00
"hipFree",3,140172,46724.000000,0.2969,4579,130774,72789.534103
"hipMalloc",3,61346,20448.666667,0.1299,2896,52899,28134.149291
"hipModuleGetFunction",1,8816,8816.000000,0.0187,8816,8816,0.00000000e+00
"hipGetDevicePropertiesR0600",1,5611,5611.000000,0.0119,5611,5611,0.00000000e+00
